Year,Continent,Country,CO2,Fuel,Fuel quantity
1965,Africa,Algeria,6.589,coal,0.814
1965,Africa,Egypt,27.609,coal,4.687
1965,Africa,Morocco,4.254,coal,2.114
1965,Africa,South Africa,128.14,coal,286.761
1965,Asia,China,500.286,coal,1330.704
1965,Asia,Hong Kong,4.803,coal,1.43
1965,Asia,India,153.702,coal,413.407
1965,Asia,Indonesia,24.668,coal,1.5
1965,Asia,Iran,53.718,coal,2.454
1965,Asia,Japan,386.471,coal,566.523
1965,Asia,Malaysia,8.38,coal,0.174
1965,Asia,Pakistan,16.83,coal,16.038
1965,Asia,Philippines,13.965,coal,0.516
1965,Asia,S. Korea,24.978,coal,57.592
1965,Asia,Singapore,2.426,coal,0.047
1965,Asia,Taiwan,17.845,coal,34.716
1965,Asia,Thailand,7.44,coal,0.523
1965,Asia,Turkey,27.353,coal,42.682
1965,Asia,Vietnam,13.15,coal,10.438
1965,Europe,Austria,38.141,coal,59.115
1965,Europe,Belgium,105.331,coal,222.937
1965,Europe,Bulgaria,46.269,coal,69.733
1965,Europe,Czechia,122.2,coal,410.841
1965,Europe,Denmark,44.293,coal,43.009
1965,Europe,Finland,25.3,coal,20.26
1965,Europe,France,363.468,coal,481.135
1965,Europe,Germany,960.102,coal,1869.476
1965,Europe,Greece,16.999,coal,24.504
1965,Europe,Hungary,61.234,coal,126.883
1965,Europe,Iceland,1.396,coal,0.076
1965,Europe,Ireland,13.717,coal,36.355
1965,Europe,Italy,189.528,coal,100.32
1965,Europe,Luxembourg,12.193,coal,31.716
1965,Europe,Netherlands,100.404,coal,103.056
1965,Europe,Norway,16.39,coal,8.877
1965,Europe,Poland,246.981,coal,691.764
1965,Europe,Portugal,11.582,coal,6.885
1965,Europe,Romania,78.637,coal,50.702
1965,Europe,Slovakia,39.049,coal,70.231
1965,Europe,Spain,71.02,coal,112.811
1965,Europe,Sweden,62.562,coal,25.927
1965,Europe,Switzerland,30.329,coal,14.833
1965,Europe,UK,622.112,coal,1365.327
1965,North America,Canada,251.917,coal,179.986
1965,North America,Mexico,75.168,coal,8.022
1965,North America,USA,3399.547,coal,3224.244
1965,Oceania,Australia,113.605,coal,202.028
1965,Oceania,New Zealand,13.685,coal,19.131
1965,South America,Argentina,58.805,coal,8.455
1965,South America,Brazil,56.279,coal,20.178
1965,South America,Chile,17.747,coal,13.549
1965,South America,Colombia,22.859,coal,23.423
1965,South America,Peru,11.952,coal,0.42
1965,South America,Venezuela,60.73,coal,0.233
1966,Africa,Algeria,8.421,coal,0.791
1966,Africa,Egypt,26.532,coal,3.187
1966,Africa,Morocco,5.46,coal,3.241
1966,Africa,South Africa,128.235,coal,283.132
1966,Asia,China,549.459,coal,1423.512
1966,Asia,Hong Kong,5.162,coal,1.233
1966,Asia,India,159.373,coal,412.415
1966,Asia,Indonesia,23.375,coal,1.838
1966,Asia,Iran,64.103,coal,2.698
1966,Asia,Japan,419.245,coal,603.773
1966,Asia,Malaysia,9.834,coal,0.233
1966,Asia,Pakistan,17.126,coal,13.537
1966,Asia,Philippines,16.104,coal,0.488
1966,Asia,S. Korea,29.982,coal,65.209
1966,Asia,Singapore,0.479,coal,0.058
1966,Asia,Taiwan,19.462,coal,34.529
1966,Asia,Thailand,9.465,coal,0.756
1966,Asia,Turkey,31.506,coal,47.497
1966,Asia,Vietnam,19.181,coal,10.964
1966,Europe,Austria,39.209,coal,56.468
1966,Europe,Belgium,105.097,coal,203.371
1966,Europe,Bulgaria,48.716,coal,71.908
1966,Europe,Czechia,121.522,coal,409.632
1966,Europe,Denmark,50.078,coal,48.745
1966,Europe,Finland,29.489,coal,18.805
1966,Europe,France,380.366,coal,445.814
1966,Europe,Germany,951.422,coal,1745.339
1966,Europe,Greece,18.621,coal,24.458
1966,Europe,Hungary,61.673,coal,121.685
1966,Europe,Iceland,1.494,coal,0.056
1966,Europe,Ireland,15.095,coal,41.414
