year,Africa,Asia,Europe,North America,Oceania,South America
1965,0.18185454545454546,7.672372549019608,19.894739130434782,27.85834285714286,2.7560000000000002,9.482333333333333
1966,0.17581818181818182,8.057588235294117,21.639065217391302,29.29917142857143,2.824789473684211,10.290083333333333
1967,0.17927272727272725,7.472490196078431,21.827782608695653,32.10794285714286,2.9299999999999997,10.897
1968,0.24976363636363633,8.390372549019608,22.701760869565216,32.99431428571428,3.069631578947369,11.576666666666666
1969,0.30863636363636365,8.761960784313725,22.60376086956522,36.72145714285714,3.1624736842105263,12.506166666666665
1970,0.3569818181818182,9.208862745098038,23.811152173913047,37.98922857142857,3.5547894736842105,14.7265
1971,0.37683636363636364,10.26513725490196,24.378565217391305,41.55591428571428,4.031052631578947,16.2865
1972,0.4347818181818182,10.686901960784311,26.12104347826087,45.40611428571428,4.173684210526315,18.71
1973,0.43452727272727276,10.019333333333334,27.022804347826085,49.69414285714286,4.261578947368421,21.106583333333333
1974,0.48829090909090905,11.914019607843137,29.418391304347825,56.08888571428571,4.523052631578946,24.702416666666664
1975,0.4976727272727272,13.078450980392157,31.656478260869562,59.999571428571436,4.910368421052631,27.36283333333333
1976,0.6057090909090909,13.897137254901962,30.626021739130437,61.63317142857143,4.614894736842105,30.604166666666668
1977,0.6782363636363637,13.451901960784314,37.0195652173913,62.84802857142857,4.398736842105262,33.75508333333333
1978,0.7259818181818182,15.893078431372547,38.095978260869565,71.55371428571429,4.721052631578948,37.408166666666666
1979,0.6787454545454547,17.751117647058823,40.73428260869565,70.93751428571429,5.087473684210527,42.42791666666667
1980,0.6756,19.551843137254902,41.70204347826087,70.98528571428572,5.109578947368421,47.08516666666667
1981,0.7126909090909092,20.943980392156863,47.301065217391304,73.58837142857142,5.2208421052631575,47.910583333333335
1982,0.6751818181818183,21.736823529411765,48.92273913043478,77.61388571428571,4.836157894736842,51.69225
1983,0.5981818181818181,23.800549019607843,53.919304347826085,81.83745714285715,4.960736842105263,55.6975
1984,0.794309090909091,25.426058823529413,60.80084782608696,86.0373142857143,5.214052631578948,62.04633333333333
1985,0.8604363636363636,29.085941176470588,88.45510869565217,89.96971428571428,5.236736842105263,67.17916666666667
1986,1.0717818181818182,30.208784313725488,90.42813043478262,94.24640000000001,5.621947368421052,69.3565
1987,0.9585272727272727,33.0953137254902,95.62473913043479,95.03974285714284,5.5314736842105265,73.18825
1988,1.246181818181818,34.738960784313726,102.71986956521738,98.80414285714285,5.804578947368421,75.65675
1989,1.3053454545454548,36.275549019607844,101.41271739130434,101.72774285714286,5.729157894736842,76.86225
1990,1.0981636363636365,38.58558823529412,102.57789130434784,107.35354285714286,5.905421052631579,79.45208333333333
1991,1.1929818181818184,40.02166666666667,104.56371739130437,111.89637142857143,6.000105263157894,84.87775
1992,1.109018181818182,40.70841176470588,106.34604347826087,110.03217142857142,5.765684210526316,86.72475000000001
1993,0.9675454545454545,45.421176470588236,109.72443478260868,113.41317142857143,6.209263157894736,92.86316666666669
1994,1.1888909090909092,46.37678431372549,108.49260869565217,115.34431428571429,6.538157894736843,97.97158333333334
1995,1.2564363636363636,51.04576470588235,110.37636956521739,123.19728571428571,6.722526315789474,100.9215
1996,1.4082909090909088,51.985274509803915,111.19902173913043,127.98437142857142,6.566526315789474,104.32783333333333
1997,1.513818181818182,53.74852941176471,113.67315217391305,123.23268571428572,6.110421052631579,109.66291666666666
1998,1.5453272727272729,56.68160784313726,114.66567391304348,121.5532857142857,6.410894736842105,111.68141666666666
1999,1.4798181818181815,56.05178431372549,117.13193478260871,127.97922857142858,6.119947368421052,112.0365
2000,1.5424363636363634,57.668313725490194,120.66243478260868,127.39057142857143,6.412315789473684,118.60383333333333
2001,1.4821818181818183,60.31923529411765,123.34121739130434,120.53345714285715,5.919578947368421,113.464
2002,1.5339272727272724,61.85903921568628,119.86213043478261,126.1844,6.408421052631578,117.51583333333333
2003,1.483490909090909,59.55127450980392,118.1005,123.58722857142857,6.219578947368421,121.96808333333333
2004,1.5288727272727272,69.51345098039215,121.88639130434784,126.26177142857144,6.6969473684210525,125.94341666666666
2005,1.4097818181818185,71.94639215686274,121.65773913043479,127.98705714285715,6.147421052631579,132.36158333333333
2006,1.4135454545454547,77.05060784313726,121.27784782608695,129.91805714285715,6.199947368421053,139.12033333333332
2007,1.5446909090909091,77.90158823529411,120.2578043478261,128.52282857142856,6.040473684210526,142.09575
2008,1.5994545454545455,84.31327450980392,121.86802173913044,132.04714285714286,5.741631578947368,142.86091666666667
2009,1.6201272727272726,84.54896078431373,119.35391304347826,131.96599999999998,6.330263157894737,146.22016666666667
2010,1.6594,95.05758823529412,123.8515652173913,131.788,6.730947368421053,145.19566666666665
2011,1.674527272727273,91.5683137254902,121.8257391304348,139.0144,8.003052631578948,153.70058333333333
2012,1.5568,94.33917647058823,125.96276086956523,135.47954285714286,7.526421052631579,149.83558333333335
2013,1.6791454545454545,102.29196078431373,129.54578260869565,139.8337142857143,8.212526315789475,143.46616666666665
2014,1.7605636363636363,113.35739215686276,131.02204347826088,141.50582857142857,7.950631578947368,140.69825
2015,1.8872363636363636,122.22617647058823,131.08095652173913,141.86414285714287,8.368894736842106,139.06325
2016,2.1098545454545454,133.06466666666668,130.8227608695652,147.68274285714287,9.361421052631579,143.65966666666665
2017,2.2437636363636364,143.82774509803923,131.07641304347825,153.98405714285715,8.820368421052631,149.53708333333333
2018,2.2549454545454544,156.35750980392157,134.9236304347826,155.32522857142857,10.35021052631579,155.26850000000002
2019,2.5814,173.69958823529407,136.0341304347826,157.11145714285715,11.067105263157893,159.52624999999998
2020,2.644890909090909,182.87698039215684,138.61069565217392,161.134,12.109000000000002,160.09633333333332
2021,2.9726,199.9847843137255,141.94715217391303,163.21745714285714,13.912052631578948,160.49183333333335
2022,2.8715636363636365,221.54324,133.13110869565216,175.91261764705882,16.05778947368421,181.61766666666665
