Country,Continent,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Image url
Afghanistan,Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://public.flourish.studio/country-flags/svg/af.svg
Albania,Europe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://public.flourish.studio/country-flags/svg/al.svg
Algeria,Africa,47.3,57.566,54.07,57.36,64.944,70.088,77.513,86.368,102.053,114.87799999999999,138.8,161.905,178.833,225.245,295.36,352.765,428.207,493.39099999999996,540.543,517.719,520.7719999999999,553.502,567.387,609.762,592.8009999999999,629.15,622.457,639.277,593.903,602.8610000000001,625.148,619.0509999999999,595.276,615.426,621.668,599.572,621.22,643.568,672.308,698.1089999999999,729.362,757.202,798.002,845.524,895.808,876.978,926.7920000000001,1013.064,1073.2579999999998,1169.85,1233.8400000000001,1232.192,1244.508,1335.376,1384.601,1293.8980000000001,1402.558,1365.73,https://public.flourish.studio/country-flags/svg/dz.svg
Andorra,Europe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://public.flourish.studio/country-flags/svg/ad.svg
Angola,Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://public.flourish.studio/country-flags/svg/ao.svg
Anguilla,North America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Antigua and Barbuda,North America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://public.flourish.studio/country-flags/svg/ag.svg
Argentina,South America,649.81,671.01,690.549,712.8320000000001,737.8770000000001,697.405,739.963,749.5229999999999,774.807,788.748,759.7280000000001,800.7840000000001,839.114,821.597,870.404,840.584,812.5440000000001,817.6389999999999,842.288,830.058,807.608,860.1949999999999,896.719,957.543,935.6179999999999,879.1179999999999,903.991,964.261,970.5260000000001,1008.7829999999999,1058.8719999999998,1137.549,1117.958,1176.465,1223.386,1190.8359999999998,1107.712,1063.662,1158.773,1264.594,1341.032,1395.5079999999998,1508.182,1531.198,1460.009,1523.5639999999999,1585.857,1661.645,1715.592,1714.715,1740.3000000000002,1740.388,1734.005,1710.712,1591.0910000000001,1475.045,1662.986,1708.024,https://public.flourish.studio/country-flags/svg/ar.svg
Armenia,Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://public.flourish.studio/country-flags/svg/am.svg
Aruba,North America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://public.flourish.studio/country-flags/svg/aw.svg
Australia,Oceania,804.153,846.952,899.354,954.568,991.704,1078.387,1127.882,1182.076,1263.8959999999997,1339.013,1356.632,1411.38,1489.1,1533.066,1595.664,1606.395,1631.003,1621.021,1567.428,1624.3980000000001,1669.785,1703.924,1758.8519999999999,1837.46,1934.7,1973.982,1953.412,1985.75,2026.868,2110.84,2210.72,2275.6,2333.642,2392.013,2490.676,2506.389,2528.9390000000003,2577.99,2612.448,2695.5060000000003,2699.028,2817.143,2892.541,2950.714,2900.732,2887.53,2939.884,2897.471,2908.568,2945.987,3001.879,2982.624,2987.9,2981.8019999999997,3062.312,2830.258,2774.446,2842.135,https://public.flourish.studio/country-flags/svg/au.svg
Austria,Europe,283.882,294.155,296.062,320.938,344.983,382.392,406.69500000000005,421.414,449.418,431.605,421.403,460.16200000000003,435.814,460.88,478.27,469.592,440.61,419.924,419.986,436.149,443.586,441.884,452.971,442.792,447.418,476.54999999999995,509.082,477.182,478.269,480.88300000000004,502.716,522.2139999999999,525.6500000000001,530.4259999999999,528.528,524.8489999999999,560.894,565.77,614.2280000000001,604.793,613.268,601.433,568.824,576.8420000000001,534.46,574.78,550.454,531.464,532.3019999999999,500.264,513.274,524.678,546.221,534.662,553.066,495.87300000000005,515.986,483.797,https://public.flourish.studio/country-flags/svg/at.svg
Azerbaijan,Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.139,500.9119999999999,485.289,486.279,495.974,511.298,490.298,418.454,357.61299999999994,330.90700000000004,312.094,254.392,242.185,241.752,243.8,255.03900000000002,246.81,239.425,257.744,291.918,316.44,313.854,288.774,292.24199999999996,248.808,238.749,278.43,292.35,300.751,306.948,334.56100000000004,329.62,324.476,332.58000000000004,349.44,359.21000000000004,383.29600000000005,378.663,https://public.flourish.studio/country-flags/svg/az.svg
Bahamas,North America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Bahrain,Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://public.flourish.studio/country-flags/svg/bh.svg
Bangladesh,Asia,0.0,0.0,0.0,0.0,0.0,0.0,25.778,29.346,37.003,40.057,40.084,46.865,48.292,51.055,56.117999999999995,66.05199999999999,69.98400000000001,78.19,76.465,81.58,92.178,102.411,112.911,125.16,133.788,142.485,137.553,150.713,167.276,176.372,212.017,220.034,231.53,246.002,249.04500000000002,267.812,305.336,307.673,325.482,345.83000000000004,374.986,406.11699999999996,416.039,439.13800000000003,484.852,496.03,537.514,584.754,608.686,632.528,764.498,766.0260000000001,800.186,854.902,959.279,908.368,952.254,989.484,https://public.flourish.studio/country-flags/svg/bd.svg
Barbados,North America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://public.flourish.studio/country-flags/svg/bb.svg
Belarus,Europe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,815.969,931.559,945.12,958.691,927.203,931.826,929.706,806.21,674.112,563.5150000000001,501.294,514.182,520.077,508.536,494.72,509.96000000000004,495.745,512.8820000000001,509.01099999999997,569.966,568.0889999999999,604.076,589.254,596.721,564.0129999999999,610.924,599.969,648.8820000000001,587.789,588.092,532.152,543.3820000000001,551.498,610.6590000000001,612.952,565.8679999999999,576.64,564.3199999999999,https://public.flourish.studio/country-flags/svg/by.svg
Belgium,Europe,824.2740000000001,793.915,833.368,929.0439999999999,1020.064,1077.404,1057.8759999999997,1124.337,1138.468,1098.616,995.927,1041.1950000000002,1030.548,1075.439,1114.515,1057.439,999.508,938.604,859.009,883.2830000000001,890.3400000000001,897.097,915.715,932.483,952.1690000000001,996.8430000000001,1039.212,1032.6290000000001,1021.316,1093.6100000000001,1105.441,1178.365,1169.876,1204.128,1176.848,1206.964,1205.773,1194.609,1252.261,1258.312,1237.574,1243.417,1243.612,1278.343,1142.016,1225.247,1113.612,1087.288,1104.158,1046.4279999999999,1090.59,1103.391,1115.306,1175.552,1137.364,1010.2339999999999,1083.115,997.03,https://public.flourish.studio/country-flags/svg/be.svg
Belize,North America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://public.flourish.studio/country-flags/svg/bz.svg
Benin,Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://public.flourish.studio/country-flags/svg/bj.svg
Bermuda,North America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://public.flourish.studio/country-flags/svg/bm.svg
Bhutan,Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://public.flourish.studio/country-flags/svg/bt.svg
Bolivia,South America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://public.flourish.studio/country-flags/svg/bo.svg
Bonaire Sint Eustatius and Saba,North America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Bosnia and Herzegovina,Europe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://public.flourish.studio/country-flags/svg/ba.svg
