Country,Continent,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Image url
Afghanistan,Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://public.flourish.studio/country-flags/svg/af.svg
Albania,Europe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://public.flourish.studio/country-flags/svg/al.svg
Algeria,Africa,1.183,1.05,1.212,1.665,1.067,1.715,0.976,1.464,2.224,1.47,0.97,1.15,0.795,0.739,0.86,0.76,1.082,1.416,0.695,1.337,1.91,0.739,1.476,0.541,0.668,0.399,0.866,0.588,1.044,0.491,0.571,0.399,0.222,0.636,0.6,0.16,0.203,0.166,0.769,0.723,1.59,0.619,0.639,0.795,0.955,0.505,1.093,1.14,0.34800000000000003,0.6890000000000001,0.597,0.9000000000000001,1.541,1.931,2.048,1.9489999999999998,1.788,2.004,https://public.flourish.studio/country-flags/svg/dz.svg
Andorra,Europe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://public.flourish.studio/country-flags/svg/ad.svg
Angola,Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://public.flourish.studio/country-flags/svg/ao.svg
Anguilla,North America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Antigua and Barbuda,North America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://public.flourish.studio/country-flags/svg/ag.svg
Argentina,South America,3.623,3.669,3.757,4.429,3.972,4.604,4.572,4.443,8.863,17.709,22.503,22.127000000000002,21.697,31.124000000000002,39.151,51.411,51.413000000000004,57.326,64.125,71.94800000000001,77.432,78.39099999999999,83.14,61.57300000000001,53.293,73.038,68.93299999999999,76.763,92.274,104.05300000000001,98.42099999999999,87.642,105.205,99.532,83.536,102.127,127.50999999999999,120.95100000000001,119.30799999999999,109.751,117.065,129.44899999999998,108.136,107.729,118.711,111.866,103.053,97.848,106.82600000000001,103.875,106.912,102.435,101.30099999999999,106.872,109.132,115.63799999999999,116.565,125.558,https://public.flourish.studio/country-flags/svg/ar.svg
Armenia,Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://public.flourish.studio/country-flags/svg/am.svg
Aruba,North America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://public.flourish.studio/country-flags/svg/aw.svg
Australia,Oceania,22.739,21.719,22.49,23.51,25.679,30.075,34.027,34.163,36.329,41.025,44.023,41.853,40.049,43.395,42.125,39.821,41.003,37.762,35.849,38.813,41.222,41.474,40.256,42.387,42.148,43.644,46.303,47.175000000000004,48.505,47.822,46.305,47.316,47.284,46.873000000000005,48.391,49.225,48.369,48.705999999999996,49.238,47.704,48.245999999999995,48.954,45.284,43.31,48.51,54.703,77.376,74.507,87.74600000000001,79.14099999999999,86.485,102.02000000000001,94.81700000000001,121.455,136.515,159.864,193.457,228.428,https://public.flourish.studio/country-flags/svg/au.svg
Austria,Europe,47.557,51.248,52.333,53.773,49.435,62.953,49.737,51.119,56.801,67.16,70.362,60.812,73.691,73.75,83.082,86.078,91.215,91.36,90.502,79.394,91.002,91.383,104.642,104.394,103.738,93.172,92.978,103.046,108.541,105.59,109.613,101.19500000000001,106.828,110.03099999999999,120.50399999999999,123.91499999999999,119.36999999999999,118.035,97.433,108.65100000000001,110.091,106.507,110.60499999999999,113.445,119.806,112.457,100.27,127.904,124.813,123.63900000000001,115.621,123.953,122.777,119.38499999999999,131.74099999999999,133.501,126.31800000000001,119.927,https://public.flourish.studio/country-flags/svg/at.svg
Azerbaijan,Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.881,2.378,2.378,2.065,2.065,4.903,5.202,5.167,7.174,5.411,4.601,4.545,5.062,5.769,4.453,4.536,3.822,5.896,7.163,7.939,8.617,7.165,6.684,6.272,6.453,9.565999999999999,7.382,4.993,4.061999999999999,3.5349999999999997,4.434,5.4,4.806,5.001,4.52,3.184,3.725,4.534000000000001,https://public.flourish.studio/country-flags/svg/az.svg
Bahamas,North America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Bahrain,Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://public.flourish.studio/country-flags/svg/bh.svg
Bangladesh,Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.517,0.517,0.979,0.719,1.289,1.461,1.292,1.496,1.736,1.724,1.848,1.547,1.958,2.652,2.185,1.331,1.529,1.996,2.72,2.614,2.478,2.354,1.798,2.505,1.1,2.185,2.126,2.558,2.463,2.215,2.917,2.186,2.1750000000000003,2.163,2.155,2.151,2.1479999999999997,2.721,1.249,2.16,2.581,2.393,2.3520000000000003,2.001,2.967,2.971,3.4280000000000004,3.031,3.0469999999999997,2.875,3.335,3.7489999999999997,https://public.flourish.studio/country-flags/svg/bd.svg
Barbados,North America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://public.flourish.studio/country-flags/svg/bb.svg
Belarus,Europe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.059,0.059,0.059,0.059,0.059,0.053,0.05,0.056,0.056,0.059,0.047,0.062,0.083,0.056,0.08,0.088,0.085,0.081,0.098,0.106,0.10300000000000001,0.10200000000000001,0.113,0.129,0.128,0.127,0.21300000000000002,0.399,0.35700000000000004,0.428,0.645,1.5750000000000002,1.431,1.835,2.835,16.337,13.850000000000001,https://public.flourish.studio/country-flags/svg/by.svg
Belgium,Europe,0.804,0.901,0.971,0.895,0.742,0.889,0.396,0.5630000000000001,0.722,1.13,19.791,28.799,34.539,36.165,33.06,36.43,37.615,45.432,69.395,79.759,99.03,112.795,120.369,123.389,117.877,122.03200000000001,122.32,124.342,119.74300000000001,116.321,118.374,123.698,135.44699999999997,132.177,140.132,138.053,132.067,133.86800000000002,132.824,132.153,132.256,129.43,133.363,125.935,130.711,133.702,137.829,120.45700000000001,129.758,108.73,91.553,135.591,134.71200000000002,103.74199999999999,147.812,134.574,173.556,158.928,https://public.flourish.studio/country-flags/svg/be.svg
Belize,North America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://public.flourish.studio/country-flags/svg/bz.svg
Benin,Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://public.flourish.studio/country-flags/svg/bj.svg
Bermuda,North America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://public.flourish.studio/country-flags/svg/bm.svg
Bhutan,Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://public.flourish.studio/country-flags/svg/bt.svg
Bolivia,South America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://public.flourish.studio/country-flags/svg/bo.svg
Bonaire Sint Eustatius and Saba,North America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Bosnia and Herzegovina,Europe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://public.flourish.studio/country-flags/svg/ba.svg
Botswana,Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://public.flourish.studio/country-flags/svg/bw.svg
